网络文学编辑,杭州·余杭区,1天前发布,5k-7k,经验1-3年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/60/FA/CioPOWGM4CmAUF1UAACf43xXEjQ935.png,行业发展前景无限，公司团队氛围好
linux运维工程师（高薪+周末双休）,珠海·香洲区,18:02发布,13k-20k,经验3-5年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,周末双休 五险一金 技术先进 房补
渠道业务部HRBP,北京·朝阳区,20:30发布,35k-60k,经验不限 / 不限,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/84/CgpVE1_ch26AEM8AAAAxNiZmyCE990.png,大平台
房产经纪人房地产顾问,上海·真如,20:29发布,15k-30k,经验不限 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/5E/02/CgpFT1mTuCOAG0v_AABDOcgAmFY341.jpg,985.211高学历待遇更加丰厚
培训助理,北京,20:28发布,6k-8k,经验不限 / 大专,https://www.lgstatic.com/thumbnail_120x120/10/06991ad794964ebc8d270cf999a8b8a8.png,接受应届生、工作氛围好
销售管理合伙人,北京·百子湾,20:27发布,25k-50k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/63/7A/CgpFT1mfXuWADBSiAAAWrpqjxLc851.png,动荡年代，机遇或挑战，你觉得呢？
JAVA工程师,福州·鳌峰,20:27发布,13k-26k,经验不限 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/79/CC/CgotOVttVjSAesI6AAKE45VCRRc354.png,科技金融、银行
谷歌落地页投放,成都,20:24发布,7k-12k,经验3-5年 / 大专,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,高待遇
海外广告优化师,广州,20:22发布,13k-26k,经验1-3年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/84/66/CioPOWKUNxGAToFQAAQMmWbhucE438.png,年终奖，不打卡，期权，绩效奖金
组织发展经理,深圳·华强北,20:22发布,25k-40k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/10/dd437551831f4a49934c4f15d8f431b5.png,不打卡 假期多 免息贷款买房
java开发工程师,深圳·福田区,20:22发布,15k-20k,经验3-5年 / 大专,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/78/32/CioPOWIqruWAAliMAABUoME6ZXg405.png,年终奖
海外推广（小语种/市场/品牌/kol）,深圳·大冲,20:21发布,8k-15k,经验1-3年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/27/B6/CgpFT1kk4LmAfBN6AAASgpA5Fp0344.png,生日会年终旅游
内容审核,杭州·滨江区,20:21发布,2k-4k,经验在校/应届 / 大专,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/70/B2/CioPOWIJt_aARXpzAAY0Pq7O-KU838.png,畅玩3A大作，畅享零食
广告产品运营,深圳·龙华新区,20:20发布,25k-35k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/54/14/CgoB5lsYneyAOuKBAAELsIpsjZA662.jpg,行业龙头，亿级用户
Java开发工程师-BJ,北京,20:20发布,15k-25k,经验1-3年 / 不限,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A4/6C/CgoB5l3BSkmAeXgoAAAStq1WNt4401.jpg,稳定
销售经理,深圳·南山区,1天前发布,10k-15k,经验3-5年 / 大专,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/68/55/Ciqc1F-jqRyAPd71AAAKXPkbIVI872.png,与实力创业团队一起共创辉煌！
客服专员,北京·中关村,1天前发布,6k-8k,经验1-3年 / 大专,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/48/94/CioPOWDVmDyAerHSAABjTx5KPhA005.PNG,气氛活跃，年轻人多，团队活力满满，福利优越
python开发工程师,上海·浦东新区,00:24发布,20k-40k,经验3-5年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/83/80/Cgp9HWKIqsGAJRA2AABh330ROP8544.jpg,五险一金、弹性工作、带薪年假、宝藏老板
产品经理,北京·大望路,00:21发布,15k-25k,经验1-3年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/5C/18/CgpEMlmJZoiAPeuTAABKbRsMlIw819.png,高薪资，发展空间 ，14薪，
产品经理,深圳·上沙,00:16发布,11k-22k,经验1-3年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/63/62/CgqCHl-WROWAat1JAAGHaTTaq_4840.png,长期稳定无出差 周末双休 加班费 优质平台
销售助理/一对一培训/零经验要求/,长沙·五一广场,00:15发布,5k-10k,经验不限 / 不限,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/67/27/Ciqc1F-g5zaASgqZAACa76ZYjpg259.png,全长沙就近安排，包住，餐补
部门行政,长沙·雨花区,00:12发布,2k-4k,经验在校/应届 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/27/80/CgpOIFqaHLWAdEGWAABm1UkrT9c828.png,"准上市公司,福利待遇好,晋升空间大"
Sales Operations,深圳·南山区,00:09发布,20k-30k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A3/E0/CgotOV2_33OAJMbDAAAoozKUaSQ386.png,朝阳行业
Java开发经理,广州·棠下,00:03发布,15k-25k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/50/60/CgpOIFr45QuALHpbAABO8AJgrn8609.png,六险一金，福利好，大平台，项目稳定
高级IT产品经理（办公）,深圳·车公庙,00:00发布,30k-45k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/55/DA/Cgq2xl3t-TGAVnlIAAOS6_9yToQ749.jpg,公司规模大
python开发工程师,上海·陆家嘴,00:00发布,20k-35k,经验3-5年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/76/76/Cgq2xl5wh4GAWNvTAAAmbwQ7z4M010.png,集团大平台，科技中台，场景丰富
BK52PL-AI中台团队产品经理,深圳·福田区,00:00发布,15k-25k,经验1-3年 / 硕士,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/4C/9E/CgqKkVejBKmAHMnyAAAm8UxY6s0839.PNG,"五险一金,带薪年假,节日福利,定期体检"
细胞业务客户经理,上海·静安区,00:00发布,15k-30k,经验3-5年 / 大专,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,高提成
技术专家,深圳·南山区,00:00发布,30k-45k,经验5-10年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/BF/1E/CgotOVwoXjWAaYcXAAId3oqS-kM912.jpg,人工智能赋能医疗健康
324168-C端产品经理,上海·杨浦区,00:00发布,20k-35k,经验3-5年 / 本科,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/0A/92/CgpVE2ASRCqAOBQEAAByexBGjfE293.jpg,"五险一金,定期体检,节日福利"
